2021-02-25 21:38:34-615 INFO  Check if 4 disks are in a main diagonal line
2021-02-25 21:38:34-615 INFO  Check if 4 disks are in a anti diagonal line
2021-02-25 21:38:34-615 INFO  Set next player turn
2021-02-25 21:38:34-615 INFO  Call playerIntroduce from PlayerGreen class
2021-02-25 21:38:34-615 INFO  Get column number from player GREEN
2021-02-25 21:38:34-615 INFO  Check if column 4 is Full
2021-02-25 21:38:34-615 INFO  Get number of disks in column 4
2021-02-25 21:38:34-615 INFO  Check if column 4 is Full
2021-02-25 21:38:34-615 INFO  Get number of disks in column 4
2021-02-25 21:38:34-615 INFO  Get number of disks in column 4
2021-02-25 21:38:34-615 INFO  Successfully putDiskInColumn
2021-02-25 21:38:34-615 INFO  Print game board
2021-02-25 21:38:34-616 INFO  Check if game is ended
2021-02-25 21:38:34-617 INFO  Check if game is Tie
2021-02-25 21:38:34-617 INFO  Check if column 0 is Full
2021-02-25 21:38:34-617 INFO  Get number of disks in column 0
2021-02-25 21:38:34-617 INFO  Check if a player won the game
2021-02-25 21:38:34-617 INFO  Check if 4 disks are in a row line
2021-02-25 21:38:34-617 INFO  Check if 4 disks are in a column line
2021-02-25 21:38:34-617 INFO  Game ends with 4 disks in a column line
2021-02-25 21:38:34-618 INFO  Check if 4 disks are in a main diagonal line
2021-02-25 21:38:34-618 INFO  Check if 4 disks are in a anti diagonal line
2021-02-25 21:38:34-618 INFO  Call playerIntroduce from PlayerGreen class
2021-02-25 21:38:34-618 INFO  End Game
2021-02-25 21:38:36-305 INFO  End APP
